sale_date,service_station_id,service_station_name,product,total_litres,total_amount,avg_price
2025-03-18,82,Runiville,DIESEL,20.0,29.4,1.47
2025-03-19,82,Runiville,DIESEL,40.0,58.8,1.47
2025-03-20,84,Avondale,DIESEL,20.0,30.0,1.5
2025-03-22,82,Runiville,PETROL,20.0,29.4,1.47
2025-03-27,82,Runiville,DIESEL,20.0,29.0,1.45
2025-04-11,82,Runiville,PETROL,20.0,29.4,1.47
2025-04-16,121,Gweru,DIESEL,20.0,29.0,1.45
2025-04-18,121,Gweru,DIESEL,20.0,29.0,1.45
2025-04-20,149,Turnpike,DIESEL,20.0,29.0,1.45
2025-04-21,123,Fife Street,DIESEL,40.0,57.2,1.43
2025-04-22,121,Gweru,DIESEL,40.0,58.0,1.45
2025-04-23,121,Gweru,DIESEL,40.0,58.0,1.45
2025-04-24,145,Sunway City,DIESEL,1600.0,2320.0,1.45
2025-04-25,121,Gweru,DIESEL,100.0,145.0,1.45
2025-04-25,145,Sunway City,DIESEL,400.0,580.0,1.45
2025-04-26,121,Gweru,DIESEL,20.0,29.0,1.45
2025-04-27,121,Gweru,DIESEL,60.0,87.0,1.45
2025-04-27,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-04-29,121,Gweru,DIESEL,220.0,319.0,1.45
2025-04-30,121,Gweru,DIESEL,40.0,58.0,1.45
2025-05-01,82,Runiville,PETROL,20.0,29.4,1.47
2025-05-01,121,Gweru,DIESEL,80.0,116.0,1.45
2025-05-03,121,Gweru,DIESEL,20.0,29.0,1.45
2025-05-04,96,Samora,DIESEL,20.0,29.0,1.45
2025-05-04,112,Marondera,DIESEL,40.0,57.6,1.44
2025-05-05,84,Avondale,DIESEL,20.0,30.0,1.5
2025-05-05,121,Gweru,DIESEL,40.0,58.0,1.45
2025-05-05,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-07,114,Kadoma,DIESEL,40.0,56.8,1.42
2025-05-08,123,Fife Street,DIESEL,40.0,57.2,1.43
2025-05-08,135,Cripps,DIESEL,40.0,56.8,1.42
2025-05-09,121,Gweru,DIESEL,40.0,58.0,1.45
2025-05-09,135,Cripps,DIESEL,20.0,28.4,1.42
2025-05-09,148,Chegutu,DIESEL,20.0,28.8,1.44
2025-05-09,149,Turnpike,DIESEL,20.0,29.0,1.45
2025-05-10,114,Kadoma,DIESEL,40.0,56.8,1.42
2025-05-10,127,Mpopoma,DIESEL,20.0,28.4,1.42
2025-05-10,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-05-10,149,Turnpike,DIESEL,40.0,58.0,1.45
2025-05-11,102,Kirkman,DIESEL,20.0,28.4,1.42
2025-05-11,121,Gweru,DIESEL,60.0,87.0,1.45
2025-05-12,121,Gweru,DIESEL,80.0,116.0,1.45
2025-05-12,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-12,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-05-13,121,Gweru,DIESEL,80.0,116.0,1.4525
2025-05-14,121,Gweru,DIESEL,20.0,29.0,1.45
2025-05-14,127,Mpopoma,DIESEL,20.0,28.4,1.45
2025-05-15,84,Avondale,DIESEL,20.0,30.0,1.5
2025-05-15,121,Gweru,DIESEL,20.0,29.0,1.45
2025-05-15,123,Fife Street,DIESEL,60.0,85.8,1.43
2025-05-16,121,Gweru,DIESEL,120.0,174.0,1.45
2025-05-18,96,Samora,DIESEL,20.0,29.0,1.45
2025-05-18,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-21,98,Roadport,DIESEL,20.0,29.0,1.45
2025-05-21,127,Mpopoma,DIESEL,20.0,28.4,1.45
2025-05-22,84,Avondale,DIESEL,20.0,30.0,1.5
2025-05-22,121,Gweru,DIESEL,80.0,116.0,1.45
2025-05-23,84,Avondale,DIESEL,20.0,30.0,1.5
2025-05-23,121,Gweru,DIESEL,200.0,290.0,1.45
2025-05-23,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-05-24,84,Avondale,PETROL,20.0,29.4,1.47
2025-05-24,86,Charter,DIESEL,60.0,84.0,1.4
2025-05-24,121,Gweru,DIESEL,100.0,145.0,1.45
2025-05-24,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-24,131,R Mugabe,DIESEL,40.0,57.2,1.43
2025-05-24,149,Turnpike,DIESEL,40.0,58.0,1.45
2025-05-25,84,Avondale,PETROL,20.0,29.4,1.47
2025-05-25,121,Gweru,DIESEL,20.0,29.0,1.45
2025-05-25,123,Fife Street,PETROL,20.0,29.2,1.46
2025-05-25,131,R Mugabe,PETROL,20.0,29.2,1.46
2025-05-26,96,Samora,DIESEL,40.0,58.0,1.45
2025-05-26,121,Gweru,DIESEL,60.0,87.0,1.45
2025-05-26,123,Fife Street,DIESEL,80.0,114.4,1.43
2025-05-26,123,Fife Street,PETROL,120.0,175.2,1.46
2025-05-26,131,R Mugabe,DIESEL,60.0,85.8,1.43
2025-05-26,131,R Mugabe,PETROL,20.0,29.2,1.46
2025-05-26,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-05-27,84,Avondale,DIESEL,40.0,60.0,1.5
2025-05-27,121,Gweru,DIESEL,80.0,116.0,1.45
2025-05-27,123,Fife Street,DIESEL,40.0,57.2,1.43
2025-05-27,123,Fife Street,PETROL,20.0,29.2,1.46
2025-05-27,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-05-27,149,Turnpike,DIESEL,20.0,29.0,1.45
2025-05-28,114,Kadoma,DIESEL,20.0,28.4,1.42
2025-05-28,121,Gweru,DIESEL,300.0,435.0,1.45
2025-05-28,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-29,82,Runiville,PETROL,20.0,29.4,1.47
2025-05-29,121,Gweru,DIESEL,120.0,174.0,1.45
2025-05-29,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-05-29,149,Turnpike,DIESEL,40.0,58.0,1.45
2025-05-30,82,Runiville,PETROL,20.0,29.4,1.47
2025-05-30,84,Avondale,PETROL,20.0,29.4,1.47
2025-05-30,114,Kadoma,DIESEL,20.0,28.4,1.42
2025-05-30,121,Gweru,DIESEL,60.0,87.0,1.45
2025-05-30,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-05-31,84,Avondale,PETROL,20.0,29.4,1.47
2025-05-31,96,Samora,DIESEL,60.0,87.0,1.45
2025-05-31,98,Roadport,PETROL,20.0,30.0,1.5
2025-05-31,121,Gweru,DIESEL,80.0,116.0,1.45
2025-05-31,131,R Mugabe,DIESEL,40.0,57.2,1.43
2025-05-31,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-06-01,102,Kirkman,PETROL,20.0,29.2,1.46
2025-06-01,149,Turnpike,PETROL,20.0,29.6,1.48
2025-06-02,121,Gweru,DIESEL,40.0,58.0,1.45
2025-06-02,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-06-03,121,Gweru,DIESEL,100.0,145.0,1.45
2025-06-03,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-06-04,121,Gweru,DIESEL,120.0,174.0,1.45
2025-06-04,147,Chinhoyi Main,DIESEL,40.0,57.2,1.43
2025-06-05,84,Avondale,PETROL,20.0,29.4,1.47
2025-06-05,96,Samora,PETROL,20.0,29.2,1.46
2025-06-05,121,Gweru,DIESEL,20.0,29.0,1.45
2025-06-06,82,Runiville,PETROL,20.0,29.4,1.47
2025-06-06,84,Avondale,DIESEL,40.0,60.0,1.5
2025-06-06,121,Gweru,DIESEL,40.0,58.0,1.45
2025-06-06,131,R Mugabe,DIESEL,40.0,57.2,1.43
2025-06-07,96,Samora,DIESEL,20.0,29.0,1.45
2025-06-07,121,Gweru,DIESEL,80.0,116.0,1.45
2025-06-07,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-06-08,98,Roadport,DIESEL,20.0,29.0,1.45
2025-06-08,121,Gweru,DIESEL,40.0,58.0,1.45
2025-06-08,149,Turnpike,DIESEL,40.0,58.0,1.45
2025-06-09,82,Runiville,DIESEL,20.0,29.0,1.45
2025-06-09,84,Avondale,DIESEL,40.0,60.0,1.5
2025-06-09,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-06-09,149,Turnpike,DIESEL,20.0,29.0,1.45
2025-06-10,121,Gweru,DIESEL,1060.0,1537.0,1.45
2025-06-11,84,Avondale,PETROL,20.0,29.4,1.47
2025-06-11,121,Gweru,DIESEL,120.0,174.0,1.45
2025-06-11,148,Chegutu,DIESEL,20.0,28.8,1.44
2025-06-12,96,Samora,DIESEL,20.0,29.0,1.45
2025-06-12,121,Gweru,DIESEL,1120.0,1624.0,1.45
2025-06-12,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-06-13,84,Avondale,PETROL,40.0,58.8,1.47
2025-06-13,121,Gweru,DIESEL,1080.0,1566.0,1.45
2025-06-13,121,Gweru,PETROL,20.0,29.2,1.46
2025-06-13,131,R Mugabe,DIESEL,60.0,85.8,1.43
2025-06-13,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-06-14,121,Gweru,DIESEL,20.0,29.0,1.45
2025-06-14,123,Fife Street,DIESEL,40.0,57.2,1.43
2025-06-14,131,R Mugabe,DIESEL,20.0,28.6,1.43
2025-06-15,121,Gweru,DIESEL,1060.0,1537.0,1.45
2025-06-15,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-06-15,131,R Mugabe,DIESEL,40.0,57.2,1.43
2025-06-16,82,Runiville,DIESEL,20.0,29.0,1.45
2025-06-16,121,Gweru,DIESEL,1120.0,1624.0,1.45
2025-06-16,121,Gweru,PETROL,40.0,58.4,1.46
2025-06-16,148,Chegutu,DIESEL,40.0,57.6,1.44
2025-06-17,121,Gweru,DIESEL,1040.0,1508.0,1.45
2025-06-17,123,Fife Street,DIESEL,20.0,28.6,1.43
2025-06-18,121,Gweru,DIESEL,1000.0,1450.0,1.45
2025-06-19,121,Gweru,DIESEL,60.0,86.4,1.44
2025-06-20,121,Gweru,DIESEL,1080.0,1555.2,1.44
2025-06-20,148,Chegutu,PETROL,20.0,29.8,1.49
2025-06-21,96,Samora,DIESEL,20.0,29.0,1.45
2025-06-21,121,Gweru,DIESEL,1000.0,1440.0,1.44
2025-06-22,121,Gweru,DIESEL,80.0,115.2,1.44
2025-06-22,121,Gweru,PETROL,20.0,29.4,1.47
2025-06-22,123,Fife Street,DIESEL,20.0,29.0,1.45
2025-06-22,148,Chegutu,DIESEL,20.0,28.8,1.44
2025-06-23,121,Gweru,DIESEL,1060.0,1526.4,1.44
2025-06-23,121,Gweru,PETROL,20.0,29.4,1.47
2025-06-24,121,Gweru,DIESEL,40.0,57.6,1.44
2025-06-24,121,Gweru,PETROL,20.0,29.4,1.47
2025-06-24,149,Turnpike,DIESEL,20.0,29.0,1.45
2025-06-25,84,Avondale,DIESEL,20.0,30.0,1.5
2025-06-25,92,Msasa,PETROL,20.0,30.4,1.52
2025-06-25,121,Gweru,DIESEL,40.0,57.6,1.44
2025-06-25,131,R Mugabe,DIESEL,20.0,29.2,1.46
2025-06-26,84,Avondale,PETROL,100.0,150.0,1.5
2025-06-27,84,Avondale,PETROL,40.0,60.0,1.5
2025-06-27,121,Gweru,DIESEL,1000.0,1450.0,1.45
2025-06-27,121,Gweru,PETROL,60.0,88.2,1.47
2025-06-27,131,R Mugabe,DIESEL,20.0,29.2,1.46
2025-06-27,148,Chegutu,DIESEL,60.0,87.0,1.45
2025-06-28,84,Avondale,DIESEL,20.0,30.0,1.5
2025-06-28,121,Gweru,DIESEL,1080.0,1566.0,1.45
2025-06-28,121,Gweru,PETROL,20.0,29.4,1.47
2025-06-29,84,Avondale,PETROL,20.0,30.0,1.5
2025-06-29,121,Gweru,DIESEL,100.0,145.0,1.45
2025-06-30,98,Roadport,DIESEL,40.0,58.0,1.45
2025-06-30,121,Gweru,DIESEL,1020.0,1479.0,1.45
2025-07-01,88,Seke,PETROL,20.0,30.0,1.5
2025-07-01,110,Mutare Green Market,DIESEL,1000.0,1400.0,1.4
2025-07-01,121,Gweru,DIESEL,1000.0,1450.0,1.45
2025-07-02,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-02,121,Gweru,DIESEL,1000.0,1450.0,1.45
2025-07-03,121,Gweru,DIESEL,1060.0,1537.0,1.45
2025-07-03,148,Chegutu,DIESEL,40.0,58.8,1.47
2025-07-04,88,Seke,PETROL,20.0,30.0,1.5
2025-07-04,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-04,121,Gweru,DIESEL,120.0,174.0,1.45
2025-07-04,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-05,88,Seke,PETROL,20.0,30.0,1.5
2025-07-05,96,Samora,PETROL,20.0,29.0,1.45
2025-07-05,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-05,121,Gweru,DIESEL,520.0,754.0,1.45
2025-07-05,121,Gweru,PETROL,40.0,60.0,1.5
2025-07-05,135,Cripps,PETROL,20.0,29.6,1.48
2025-07-06,84,Avondale,PETROL,60.0,90.0,1.5
2025-07-06,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-06,121,Gweru,DIESEL,540.0,783.0,1.45
2025-07-06,121,Gweru,PETROL,40.0,60.0,1.5
2025-07-07,82,Runiville,DIESEL,20.0,29.0,1.45
2025-07-07,82,Runiville,PETROL,20.0,30.4,1.52
2025-07-07,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-07,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-07,121,Gweru,DIESEL,40.0,58.0,1.45
2025-07-08,82,Runiville,PETROL,60.0,91.2,1.52
2025-07-08,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-08,114,Kadoma,DIESEL,20.0,29.0,1.45
2025-07-08,148,Chegutu,DIESEL,20.0,29.4,1.47
2025-07-09,121,Gweru,DIESEL,1020.0,1479.0,1.45
2025-07-09,131,R Mugabe,DIESEL,20.0,29.2,1.46
2025-07-10,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-11,98,Roadport,PETROL,20.0,30.0,1.5
2025-07-11,121,Gweru,DIESEL,220.0,319.0,1.45
2025-07-11,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-12,121,Gweru,DIESEL,1020.0,1479.0,1.45
2025-07-13,84,Avondale,DIESEL,20.0,30.0,1.5
2025-07-14,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-14,98,Roadport,PETROL,40.0,60.6,1.515
2025-07-15,82,Runiville,PETROL,20.0,30.4,1.52
2025-07-15,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-15,98,Roadport,PETROL,40.0,61.2,1.53
2025-07-15,135,Cripps,PETROL,20.0,29.6,1.48
2025-07-15,145,Sunway City,PETROL,20.0,30.2,1.51
2025-07-16,121,Gweru,DIESEL,1080.0,1576.8,1.46
2025-07-16,148,Chegutu,DIESEL,40.0,58.8,1.47
2025-07-17,82,Runiville,PETROL,20.0,30.4,1.52
2025-07-17,84,Avondale,PETROL,40.0,60.0,1.5
2025-07-17,98,Roadport,PETROL,20.0,30.6,1.53
2025-07-17,121,Gweru,DIESEL,60.0,87.6,1.46
2025-07-17,121,Gweru,PETROL,40.0,60.0,1.5
2025-07-18,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-18,96,Samora,PETROL,20.0,29.0,1.45
2025-07-18,121,Gweru,PETROL,40.0,60.0,1.5
2025-07-18,145,Sunway City,PETROL,20.0,30.2,1.51
2025-07-19,84,Avondale,DIESEL,20.0,30.0,1.5
2025-07-19,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-19,98,Roadport,PETROL,20.0,30.6,1.53
2025-07-19,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-20,121,Gweru,DIESEL,60.0,87.6,1.46
2025-07-20,131,R Mugabe,DIESEL,20.0,29.4,1.47
2025-07-21,82,Runiville,PETROL,20.0,30.4,1.52
2025-07-21,98,Roadport,PETROL,40.0,61.2,1.53
2025-07-21,121,Gweru,DIESEL,20.0,29.2,1.46
2025-07-21,121,Gweru,PETROL,40.0,60.0,1.5
2025-07-21,131,R Mugabe,DIESEL,20.0,29.4,1.47
2025-07-21,135,Cripps,PETROL,20.0,29.6,1.48
2025-07-22,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-22,98,Roadport,PETROL,20.0,30.6,1.53
2025-07-22,147,Chinhoyi Main,DIESEL,40.0,58.4,1.46
2025-07-22,148,Chegutu,DIESEL,80.0,117.6,1.47
2025-07-23,84,Avondale,PETROL,40.0,60.0,1.5
2025-07-23,96,Samora,PETROL,20.0,30.2,1.51
2025-07-23,98,Roadport,PETROL,20.0,30.6,1.53
2025-07-23,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-25,82,Runiville,PETROL,20.0,30.4,1.52
2025-07-25,84,Avondale,PETROL,60.0,90.0,1.5
2025-07-25,121,Gweru,DIESEL,60.0,87.6,1.46
2025-07-25,145,Sunway City,PETROL,20.0,30.2,1.51
2025-07-26,82,Runiville,PETROL,40.0,60.8,1.52
2025-07-26,88,Seke,PETROL,20.0,30.0,1.5
2025-07-26,96,Samora,PETROL,20.0,30.2,1.51
2025-07-26,121,Gweru,DIESEL,20.0,29.2,1.46
2025-07-26,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-27,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-27,98,Roadport,PETROL,40.0,61.2,1.53
2025-07-27,121,Gweru,PETROL,20.0,30.0,1.5
2025-07-27,123,Fife Street,PETROL,20.0,30.0,1.5
2025-07-28,84,Avondale,PETROL,40.0,60.0,1.5
