sale_date,service_station_id,service_station_name,product,total_litres,total_amount,avg_price
2025-07-29,84,Avondale,PETROL,20.0,30.0,1.5
2025-07-29,102,Kirkman,DIESEL,40.0,58.0,1.45
2025-07-30,84,Avondale,PETROL,40.0,60.0,1.5
2025-07-30,92,Msasa,PETROL,20.0,30.8,1.54
2025-07-30,121,Gweru,DIESEL,120.0,175.2,1.46
2025-07-30,121,Gweru,PETROL,60.0,90.0,1.5
2025-07-31,84,Avondale,PETROL,40.0,60.0,1.5
2025-08-01,98,Roadport,DIESEL,20.0,29.6,1.48
2025-08-01,114,Kadoma,DIESEL,40.0,58.0,1.45
2025-08-01,121,Gweru,DIESEL,100.0,146.0,1.46
2025-08-01,121,Gweru,PETROL,20.0,30.0,1.5
2025-08-02,84,Avondale,DIESEL,20.0,30.0,1.5
2025-08-02,121,Gweru,DIESEL,20.0,29.2,1.46
2025-08-02,135,Cripps,PETROL,20.0,29.6,1.48
2025-08-03,88,Seke,PETROL,20.0,30.0,1.5
2025-08-03,121,Gweru,DIESEL,40.0,58.4,1.46
2025-08-04,84,Avondale,DIESEL,20.0,30.0,1.5
2025-08-04,84,Avondale,PETROL,20.0,30.0,1.5
2025-08-04,88,Seke,PETROL,20.0,30.0,1.5
2025-08-04,121,Gweru,DIESEL,20.0,29.2,1.46
2025-08-04,149,Turnpike,PETROL,20.0,30.4,1.52
2025-08-05,131,R Mugabe,DIESEL,20.0,30.0,1.5
2025-08-06,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-07,84,Avondale,PETROL,20.0,30.0,1.5
2025-08-07,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-08,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-09,88,Seke,PETROL,20.0,30.0,1.5
2025-08-09,96,Samora,PETROL,20.0,30.2,1.51
2025-08-09,98,Roadport,PETROL,40.0,61.6,1.54
2025-08-09,102,Kirkman,PETROL,20.0,30.4,1.52
2025-08-10,96,Samora,PETROL,20.0,30.2,1.51
2025-08-11,98,Roadport,PETROL,40.0,61.6,1.54
2025-08-12,92,Msasa,PETROL,20.0,31.0,1.55
2025-08-12,98,Roadport,PETROL,40.0,61.6,1.54
2025-08-12,102,Kirkman,PETROL,20.0,30.4,1.52
2025-08-13,96,Samora,PETROL,20.0,30.2,1.51
2025-08-13,121,Gweru,DIESEL,40.0,58.4,1.46
2025-08-14,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-14,88,Seke,PETROL,20.0,30.0,1.5
2025-08-14,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-14,140,Mutare Second Street,PETROL,20.0,29.6,1.48
2025-08-15,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-17,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-17,84,Avondale,PETROL,20.0,30.0,1.5
2025-08-17,92,Msasa,PETROL,20.0,31.0,1.55
2025-08-17,121,Gweru,DIESEL,80.0,116.8,1.46
2025-08-18,98,Roadport,PETROL,40.0,61.6,1.54
2025-08-19,121,Gweru,DIESEL,20.0,29.2,1.46
2025-08-19,148,Chegutu,DIESEL,20.0,29.4,1.47
2025-08-20,131,R Mugabe,DIESEL,20.0,30.0,1.5
2025-08-21,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-21,86,Charter,PETROL,20.0,30.0,1.5
2025-08-21,121,Gweru,DIESEL,40.0,58.4,1.46
2025-08-22,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-22,121,Gweru,DIESEL,60.0,87.6,1.46
2025-08-23,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-23,135,Cripps,PETROL,40.0,59.2,1.48
2025-08-24,112,Marondera,PETROL,20.0,30.0,1.5
2025-08-25,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-26,135,Cripps,PETROL,20.0,29.6,1.48
2025-08-27,146,Banket,DIESEL,2000.0,2900.0,1.45
2025-08-28,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-29,88,Seke,PETROL,20.0,30.0,1.5
2025-08-29,121,Gweru,DIESEL,20.0,29.2,1.46
2025-08-30,82,Runiville,PETROL,20.0,30.4,1.52
2025-08-30,112,Marondera,PETROL,20.0,30.0,1.5
2025-08-31,88,Seke,PETROL,20.0,30.0,1.5
2025-08-31,98,Roadport,PETROL,20.0,30.8,1.54
2025-08-31,140,Mutare Second Street,PETROL,20.0,29.6,1.48
2025-09-02,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-02,96,Samora,PETROL,20.0,30.2,1.51
2025-09-03,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-04,135,Cripps,PETROL,40.0,59.2,1.48
2025-09-05,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-05,146,Banket,DIESEL,100.0,145.0,1.45
2025-09-06,88,Seke,PETROL,20.0,30.0,1.5
2025-09-06,121,Gweru,DIESEL,60.0,87.6,1.46
2025-09-07,96,Samora,PETROL,20.0,30.2,1.51
2025-09-07,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-08,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-08,135,Cripps,PETROL,20.0,29.6,1.48
2025-09-09,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-09,96,Samora,PETROL,20.0,30.2,1.51
2025-09-09,146,Banket,DIESEL,20.0,29.0,1.45
2025-09-10,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-10,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-10,92,Msasa,PETROL,20.0,30.8,1.54
2025-09-10,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-10,135,Cripps,PETROL,20.0,29.6,1.48
2025-09-10,146,Banket,DIESEL,20.0,29.0,1.45
2025-09-11,96,Samora,PETROL,20.0,30.2,1.51
2025-09-11,121,Gweru,DIESEL,20.0,29.2,1.46
2025-09-12,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-12,146,Banket,DIESEL,200.0,290.4,1.452
2025-09-13,102,Kirkman,PETROL,40.0,60.8,1.52
2025-09-13,121,Gweru,DIESEL,40.0,58.4,1.46
2025-09-13,121,Gweru,PETROL,40.0,60.0,1.5
2025-09-14,131,R Mugabe,DIESEL,40.0,60.0,1.5
2025-09-14,147,Chinhoyi Main,PETROL,20.0,30.6,1.53
2025-09-15,98,Roadport,PETROL,40.0,61.6,1.54
2025-09-16,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-16,146,Banket,DIESEL,20.0,29.2,1.46
2025-09-17,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-17,92,Msasa,PETROL,20.0,30.8,1.54
2025-09-17,98,Roadport,PETROL,20.0,30.8,1.54
2025-09-18,88,Seke,PETROL,20.0,30.0,1.5
2025-09-18,121,Gweru,DIESEL,120.0,175.2,1.46
2025-09-18,145,Sunway City,PETROL,20.0,30.2,1.51
2025-09-19,146,Banket,DIESEL,3040.0,4438.4,1.46
2025-09-20,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-20,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-20,135,Cripps,PETROL,40.0,59.2,1.48
2025-09-20,146,Banket,DIESEL,80.0,116.8,1.46
2025-09-20,147,Chinhoyi Main,PETROL,20.0,30.6,1.53
2025-09-21,84,Avondale,DIESEL,20.0,30.0,1.5
2025-09-22,146,Banket,DIESEL,100.0,146.0,1.46
2025-09-23,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-23,146,Banket,DIESEL,40.0,58.4,1.46
2025-09-24,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-24,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-24,98,Roadport,PETROL,40.0,61.6,1.54
2025-09-25,149,Turnpike,PETROL,40.0,60.8,1.52
2025-09-26,84,Avondale,PETROL,40.0,60.0,1.5
2025-09-26,146,Banket,DIESEL,100.0,146.0,1.46
2025-09-27,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-27,135,Cripps,PETROL,20.0,29.6,1.48
2025-09-28,84,Avondale,PETROL,40.0,60.0,1.5
2025-09-29,82,Runiville,PETROL,20.0,30.4,1.52
2025-09-29,84,Avondale,PETROL,20.0,30.0,1.5
2025-09-29,131,R Mugabe,DIESEL,20.0,30.0,1.5
2025-09-30,96,Samora,PETROL,20.0,30.4,1.52
2025-09-30,145,Sunway City,PETROL,20.0,30.4,1.52
2025-10-01,146,Banket,DIESEL,60.0,87.6,1.46
2025-10-01,147,Chinhoyi Main,DIESEL,20.0,29.4,1.47
2025-10-02,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-02,88,Seke,PETROL,20.0,30.0,1.5
2025-10-03,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-03,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-03,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-03,146,Banket,DIESEL,140.0,204.4,1.46
2025-10-03,147,Chinhoyi Main,DIESEL,20.0,29.4,1.47
2025-10-05,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-05,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-05,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-06,84,Avondale,DIESEL,20.0,30.0,1.5
2025-10-06,92,Msasa,PETROL,20.0,30.8,1.54
2025-10-06,98,Roadport,PETROL,60.0,92.4,1.54
2025-10-06,121,Gweru,DIESEL,40.0,58.4,1.46
2025-10-07,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-07,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-07,140,Mutare Second Street,PETROL,20.0,29.6,1.48
2025-10-08,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-08,102,Kirkman,PETROL,20.0,30.4,1.52
2025-10-08,147,Chinhoyi Main,DIESEL,20.0,29.4,1.47
2025-10-09,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-10,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-10,84,Avondale,DIESEL,20.0,30.0,1.5
2025-10-10,146,Banket,DIESEL,100.0,146.0,1.46
2025-10-10,147,Chinhoyi Main,DIESEL,20.0,29.8,1.49
2025-10-11,82,Runiville,DIESEL,60.0,88.8,1.48
2025-10-11,84,Avondale,PETROL,40.0,60.8,1.52
2025-10-11,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-11,140,Mutare Second Street,PETROL,20.0,29.6,1.48
2025-10-12,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-12,102,Kirkman,PETROL,20.0,30.4,1.52
2025-10-12,146,Banket,DIESEL,40.0,58.8,1.47
2025-10-13,84,Avondale,DIESEL,40.0,60.0,1.5
2025-10-13,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-13,92,Msasa,PETROL,20.0,31.0,1.55
2025-10-13,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-13,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-14,82,Runiville,DIESEL,40.0,59.2,1.48
2025-10-14,84,Avondale,DIESEL,60.0,90.0,1.5
2025-10-14,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-14,98,Roadport,PETROL,60.0,92.4,1.54
2025-10-14,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-15,82,Runiville,DIESEL,40.0,59.2,1.48
2025-10-15,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-15,146,Banket,DIESEL,20.0,29.4,1.47
2025-10-15,147,Chinhoyi Main,DIESEL,20.0,29.8,1.49
2025-10-16,84,Avondale,DIESEL,20.0,30.0,1.5
2025-10-16,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-16,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-17,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-17,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-17,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-17,146,Banket,DIESEL,120.0,176.4,1.47
2025-10-18,131,R Mugabe,PETROL,20.0,30.4,1.52
2025-10-18,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-19,88,Seke,PETROL,20.0,30.0,1.5
2025-10-20,82,Runiville,DIESEL,40.0,59.2,1.48
2025-10-20,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-20,102,Kirkman,PETROL,20.0,30.4,1.52
2025-10-21,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-21,135,Cripps,PETROL,40.0,59.2,1.48
2025-10-21,147,Chinhoyi Main,DIESEL,20.0,29.8,1.49
2025-10-22,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-22,147,Chinhoyi Main,DIESEL,20.0,29.8,1.49
2025-10-23,84,Avondale,PETROL,40.0,60.8,1.52
2025-10-23,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-24,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-24,96,Samora,DIESEL,20.0,29.8,1.49
2025-10-24,102,Kirkman,PETROL,20.0,30.4,1.52
2025-10-24,146,Banket,DIESEL,140.0,205.8,1.47
2025-10-24,147,Chinhoyi Main,DIESEL,40.0,59.6,1.49
2025-10-25,88,Seke,PETROL,20.0,30.0,1.5
2025-10-25,102,Kirkman,PETROL,20.0,30.4,1.52
2025-10-26,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-26,86,Charter,PETROL,20.0,30.6,1.53
2025-10-26,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-26,135,Cripps,PETROL,40.0,59.2,1.48
2025-10-27,82,Runiville,DIESEL,80.0,118.4,1.48
2025-10-27,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-27,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-27,146,Banket,DIESEL,20.0,29.4,1.47
2025-10-28,82,Runiville,PETROL,20.0,30.4,1.52
2025-10-28,84,Avondale,PETROL,20.0,30.4,1.52
2025-10-28,92,Msasa,PETROL,20.0,31.0,1.55
2025-10-28,121,Gweru,DIESEL,60.0,88.2,1.47
2025-10-28,135,Cripps,PETROL,20.0,29.6,1.48
2025-10-28,146,Banket,DIESEL,20.0,29.4,1.47
2025-10-29,86,Charter,DIESEL,40.0,58.4,1.46
2025-10-29,86,Charter,PETROL,40.0,61.2,1.53
2025-10-29,146,Banket,DIESEL,80.0,117.6,1.47
2025-10-30,84,Avondale,DIESEL,20.0,30.0,1.5
2025-10-30,84,Avondale,PETROL,40.0,60.8,1.52
2025-10-30,86,Charter,DIESEL,20.0,29.2,1.46
2025-10-30,86,Charter,PETROL,40.0,61.2,1.53
2025-10-30,98,Roadport,PETROL,20.0,30.8,1.54
2025-10-31,86,Charter,DIESEL,40.0,58.4,1.46
2025-10-31,86,Charter,PETROL,20.0,30.6,1.53
2025-10-31,98,Roadport,PETROL,20.0,31.0,1.55
2025-10-31,146,Banket,DIESEL,120.0,176.4,1.47
2025-11-01,86,Charter,PETROL,20.0,30.6,1.53
2025-11-01,98,Roadport,PETROL,20.0,31.0,1.55
2025-11-01,149,Turnpike,PETROL,60.0,91.8,1.53
2025-11-02,96,Samora,PETROL,20.0,30.4,1.52
2025-11-02,146,Banket,DIESEL,20.0,29.4,1.47
2025-11-03,84,Avondale,PETROL,20.0,30.4,1.52
2025-11-03,86,Charter,DIESEL,20.0,29.2,1.46
2025-11-03,86,Charter,PETROL,20.0,30.6,1.53
2025-11-03,98,Roadport,PETROL,40.0,62.0,1.55
2025-11-03,146,Banket,DIESEL,20.0,29.4,1.47
2025-11-04,82,Runiville,PETROL,20.0,30.4,1.52
2025-11-04,84,Avondale,PETROL,20.0,30.4,1.52
2025-11-04,86,Charter,DIESEL,120.0,175.2,1.46
2025-11-05,86,Charter,DIESEL,60.0,87.6,1.46
2025-11-05,86,Charter,PETROL,120.0,183.6,1.53
2025-11-05,140,Mutare Second Street,DIESEL,20.0,28.8,1.44
2025-11-05,145,Sunway City,PETROL,20.0,30.4,1.52
2025-11-05,146,Banket,DIESEL,200.0,294.0,1.47
2025-11-06,86,Charter,DIESEL,40.0,58.4,1.46
2025-11-06,86,Charter,PETROL,20.0,30.6,1.53
2025-11-07,82,Runiville,DIESEL,20.0,29.6,1.48
2025-11-07,84,Avondale,PETROL,40.0,60.8,1.52
2025-11-07,86,Charter,DIESEL,20.0,29.2,1.46
2025-11-07,86,Charter,PETROL,80.0,122.4,1.53
2025-11-07,98,Roadport,PETROL,20.0,30.8,1.54
2025-11-07,146,Banket,DIESEL,40.0,58.8,1.47
2025-11-08,84,Avondale,DIESEL,20.0,30.0,1.5
2025-11-08,86,Charter,DIESEL,40.0,58.4,1.46
2025-11-08,86,Charter,PETROL,20.0,30.6,1.53
2025-11-08,98,Roadport,PETROL,20.0,30.8,1.54
2025-11-08,145,Sunway City,PETROL,20.0,30.4,1.52
2025-11-09,82,Runiville,PETROL,20.0,30.4,1.52
2025-11-09,84,Avondale,PETROL,60.0,91.2,1.52
2025-11-09,149,Turnpike,PETROL,20.0,30.6,1.53
2025-11-10,86,Charter,DIESEL,60.0,87.6,1.46
2025-11-10,86,Charter,PETROL,60.0,91.8,1.53
2025-11-10,88,Seke,PETROL,20.0,30.0,1.5
2025-11-10,98,Roadport,PETROL,20.0,30.8,1.54
2025-11-10,135,Cripps,PETROL,20.0,30.0,1.5
2025-11-11,86,Charter,PETROL,20.0,30.6,1.53
2025-11-11,98,Roadport,PETROL,40.0,61.6,1.54
2025-11-11,145,Sunway City,PETROL,20.0,30.4,1.52
2025-11-11,146,Banket,DIESEL,40.0,58.8,1.47
